"Country","Region","Hrank","Hscore","GDP","Family","Life","Freedom","Corruption","Generosity"
"Afghanistan","AsiaAustralia",154,3.36,0.38227,0.11037,0.17344,0.1643,0.08112,0.31268
"Mauritius","AfricaMideast",66,5.648,1.14372,0.75695,0.66189,0.46145,0.06203,0.36951
"Somalia","AfricaMideast",76,5.44,0,0.33613,0.11466,0.56778,0.3218,0.27225
"Somaliland Region","AfricaMideast",97,5.057,0.25558,0.75862,0.33108,0.3913,0.37794,0.51479
"Nigeria","AfricaMideast",103,4.875,0.75216,0.64498,0.05108,0.27854,0.0405,0.23219
"Zambia","AfricaMideast",106,4.795,0.61202,0.6376,0.23573,0.42662,0.12479,0.17866
"Sierra Leone","AfricaMideast",111,4.635,0.36485,0.628,0,0.30685,0.09196,0.23897
"Namibia","AfricaMideast",113,4.574,0.93287,0.70362,0.34745,0.48614,0.11398,0.07795
"Cameroon","AfricaMideast",114,4.513,0.52497,0.62542,0.12698,0.42736,0.07126,0.2268
"Ethiopia","AfricaMideast",115,4.508,0.29283,0.37932,0.34578,0.36703,0.1817,0.29522
"South Africa","AfricaMideast",116,4.459,1.02416,0.96053,0.18611,0.42483,0.09415,0.13656
"Kenya","AfricaMideast",122,4.356,0.52267,0.7624,0.30147,0.40576,0.07686,0.41328
"Ghana","AfricaMideast",124,4.276,0.63107,0.49353,0.29681,0.40973,0.0426,0.21203
"Congo (Kinshasa)","AfricaMideast",125,4.272,0.05661,0.80676,0.188,0.15602,0.07075,0.25458
"Congo (Brazzaville)","AfricaMideast",127,4.236,0.77109,0.47799,0.28212,0.37938,0.10753,0.12077
"Senegal","AfricaMideast",128,4.219,0.44314,0.77416,0.40457,0.31056,0.12681,0.19103
"Mauritania","AfricaMideast",130,4.201,0.61391,0.84142,0.28639,0.1268,0.18955,0.22686
"Zimbabwe","AfricaMideast",131,4.193,0.35041,0.71478,0.1595,0.25429,0.09582,0.18503
"Malawi","AfricaMideast",132,4.156,0.08709,0.147,0.29364,0.4143,0.08564,0.30968
"Sudan","AfricaMideast",133,4.139,0.63069,0.81928,0.29759,0,0.11039,0.18077
"Gabon","AfricaMideast",134,4.121,1.15851,0.72368,0.3494,0.28098,0.10314,0.06244
"Mali","AfricaMideast",135,4.073,0.31292,0.86333,0.16347,0.27544,0.14647,0.21064
"Botswana","AfricaMideast",137,3.974,1.09426,0.89186,0.34752,0.44089,0.11769,0.12425
"Comoros","AfricaMideast",138,3.956,0.27509,0.60323,0.29981,0.15412,0.19437,0.1827
"Ivory Coast","AfricaMideast",139,3.916,0.55507,0.57576,0.04476,0.40663,0.1653,0.20338
"Angola","AfricaMideast",141,3.866,0.84731,0.66366,0.04991,0.00589,0.09434,0.12071
"Niger","AfricaMideast",142,3.856,0.1327,0.6053,0.26162,0.38041,0.18176,0.2097
"South Sudan","AfricaMideast",143,3.832,0.39394,0.18519,0.15781,0.19662,0.14015,0.25899
"Chad","AfricaMideast",144,3.763,0.42214,0.63178,0.03824,0.12807,0.05952,0.18667
"Burkina Faso","AfricaMideast",145,3.739,0.31995,0.63054,0.21297,0.3337,0.13533,0.24353
"Uganda","AfricaMideast",145,3.739,0.34719,0.90981,0.19625,0.43653,0.07442,0.27102
"Madagascar","AfricaMideast",148,3.695,0.27954,0.46115,0.37109,0.13684,0.08506,0.2204
"Tanzania","AfricaMideast",149,3.666,0.47155,0.77623,0.357,0.3176,0.06099,0.31472
"Liberia","AfricaMideast",150,3.622,0.10706,0.50353,0.23165,0.25748,0.05852,0.24063
"Guinea","AfricaMideast",151,3.607,0.22415,0.3109,0.18829,0.30953,0.1292,0.29914
"Rwanda","AfricaMideast",152,3.515,0.32846,0.61586,0.31865,0.5432,0.51521,0.23552
"Benin","AfricaMideast",153,3.484,0.39499,0.10419,0.21028,0.39747,0.07681,0.2018
"Togo","AfricaMideast",155,3.303,0.28123,0,0.24811,0.34678,0.12587,0.17517
"Burundi","AfricaMideast",157,2.905,0.06831,0.23442,0.15747,0.0432,0.10419,0.2029
"Denmark","Europe",1,7.526,1.44178,1.16374,0.79504,0.57941,0.45453,0.36171
"Switzerland","Europe",2,7.509,1.52733,1.14524,0.86303,0.58557,0.42203,0.28083
"Iceland","Europe",3,7.501,1.42666,1.18326,0.86733,0.56624,0.15975,0.47678
"Norway","Europe",4,7.498,1.57744,1.1269,0.79579,0.59609,0.36776,0.37895
"Finland","Europe",5,7.413,1.40598,1.13464,0.81091,0.57104,0.42004,0.25492
"Netherlands","Europe",7,7.339,1.46468,1.02912,0.81231,0.55211,0.30927,0.47416
"Sweden","Europe",10,7.291,1.45181,1.08764,0.83121,0.58218,0.41867,0.38254
