Season,Name,W,L,SV,G,GS,IP,K9,BB9,HR9,BABIP,LOB,GB,HRFB,ERA,FIP,xFIP,WAR,playerid
2004,Jason Standridge,0,0,0,1,1,3,6,0,6,0.3,0.455,0.25,0.3330 ,12,10.38,4.56,-0.1,1229
2003,Jason Standridge,0,5,0,7,7,32,5.06,3.94,1.97,0.282,0.631,0.413,0.2000 ,7.03,6.16,4.91,-0.1,1229
2005,John Webb,0,1,0,1,1,4,4.5,9,2.25,0.333,0.313,0.313,0.1250 ,18,9.02,8.53,-0.1,7230
2013,Jamey Wright,0,0,0,1,1,1.2,5.4,10.8,5.4,0.4,1,0.4,0.5000 ,5.4,13.25,7.09,-0.1,715
2001,Jeff Wallace,0,1,0,1,1,5,12.6,10.8,3.6,0.3,0.732,,,9,9.05,,-0.2,1013550
1998,Matt Ruebel,0,1,0,1,1,4.1,4.15,6.23,4.15,0.286,0.807,,,6.23,10.29,,-0.2,1011289
2000,Juan Guzman,0,1,0,1,1,1.2,16.2,10.8,10.8,0.714,0.161,,,43.2,18.73,,-0.2,1005162
2001,Mike Judd,1,0,0,2,2,8.2,3.12,6.23,2.08,0.241,0.682,,,5.19,7.78,,-0.2,1006639
2002,Wilson Alvarez,2,2,0,10,10,47,5.94,4.6,1.91,0.302,0.692,0.293,0.1280 ,6.32,5.94,5.47,-0.2,1193
2004,Paul Abbott,2,5,0,9,9,44.2,4.23,5.04,1.61,0.263,0.578,0.38,0.1140 ,7.05,6.32,6.22,-0.2,1061
2001,Brian Rose,0,2,0,3,3,11,4.91,5.73,2.45,0.419,0.546,,,12.27,7.41,,-0.2,1011201
2002,Dewon Brazelton,0,1,0,2,2,13,3.46,4.15,2.08,0.257,0.823,0.395,0.2140 ,4.85,7.04,5.53,-0.2,1195
2014,Cesar Ramos,1,3,0,7,7,30.1,6.23,5.04,1.19,0.281,0.645,0.384,0.1000 ,5.04,5.24,5.16,-0.2,3357
2003,Jim Parque,1,1,0,5,5,17.1,4.15,8.31,1.04,0.368,0.51,0.441,0.0910 ,11.94,6.55,6.9,-0.2,250
2008,Jeff Niemann,1,1,0,2,2,9.1,5.79,4.82,2.89,0.25,0.625,0.313,0.1670 ,5.79,7.95,6.32,-0.2,8591
2003,Dewon Brazelton,1,6,0,10,10,48.1,4.47,4.28,1.68,0.289,0.483,0.482,0.1610 ,6.89,6.07,5.34,-0.2,1195
